Match Name,Sport,Region,Region Code,Game Date,Game Time,Game Info,Relative Path,Full URL,Custom Slug,Team 1 Mascot,Team 2 Mascot,Team 1 URL,Team 2 URL,Team 1 Thumb,Team 2 Thumb
"Center Point vs Carver Birmingham","Football","Alabama","al","2026-09-10","7:00pm","The Center Point varsity football team has an away non-conference game @  Carver Birmingham (Birmingham, AL) on Thursday, September 10 @ 7p.","/al/football/game/carver-birmingham-vs-center-point-birmingham/9-10-2026/?c=e6a8292c-8756-47ac-b69d-e56f0a3e8459","https://www.maxpreps.com/al/football/game/carver-birmingham-vs-center-point-birmingham/9-10-2026/?c=e6a8292c-8756-47ac-b69d-e56f0a3e8459","1134","Eagles","Rams","https://www.maxpreps.com/al/carver-birmingham/football/","https://www.maxpreps.com/al/center-point-birmingham/football/","https://image.maxpreps.io/school-mascot/3/9/0/390377fc-f035-48ea-8789-9391c2a3ba4f.gif?version=638215522800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/3/7/1/37131336-c882-4390-8ddf-4c376d29a77d.gif?version=638225188800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Alabama School for the Deaf vs Victory Christian","Football","Alabama","al","2026-09-10","7:00pm","The Alabama School for the Deaf varsity football team has an away non-conference game @  Victory Christian (Columbus, MS) on Thursday, September 10 @ 7p.","/inter-state/football/game/alabama-school-for-the-deaf-talladega-al-vs-victory-christian-columbus-ms/9-10-2026/?c=65c9a263-ab6c-4967-af86-9ca561967316","https://www.maxpreps.com/inter-state/football/game/alabama-school-for-the-deaf-talladega-al-vs-victory-christian-columbus-ms/9-10-2026/?c=65c9a263-ab6c-4967-af86-9ca561967316","1bc2","Silent Warriors","Eagles","https://www.maxpreps.com/al/alabama-school-for-the-deaf-talladega-al/football/","https://www.maxpreps.com/al/victory-christian-columbus-ms/football/","https://image.maxpreps.io/school-mascot/4/1/f/41f500e5-55f0-417c-a0b0-7adb8adea48a.gif?version=638624176232122140&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/7/c/5/7c502b1f-35e2-42ec-ac1f-431410779c1a.gif?version=636405616200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"John Carroll Catholic vs St. John Paul II","Football","Alabama","al","2026-09-10","7:00pm","The John Carroll Catholic varsity football team has an away non-conference game @  St. John Paul II (Huntsville, AL) on Thursday, September 10 @ 7p.","/al/football/game/john-carroll-catholic-birmingham-vs-st-john-paul-ii-huntsville/9-10-2026/?c=0641f7f0-7da4-44e3-a333-743c453a8ce2","https://www.maxpreps.com/al/football/game/john-carroll-catholic-birmingham-vs-st-john-paul-ii-huntsville/9-10-2026/?c=0641f7f0-7da4-44e3-a333-743c453a8ce2","17e9","The Cavaliers","Falcons","https://www.maxpreps.com/al/john-carroll-catholic-birmingham/football/","https://www.maxpreps.com/al/st-john-paul-ii-huntsville/football/","https://image.maxpreps.io/school-mascot/9/1/2/9122ba06-6592-43e6-9787-3ad081afcbb1.gif?version=638235460800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/8/6/3/863ff616-4589-46d1-a2c4-879da6e3a7c9.gif?version=638249396400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Conecuh Springs Christian vs Cornerstone Christian","Football","Alabama","al","2026-09-10","7:00pm","The Conecuh Springs Christian varsity football team has an away non-conference game @  Cornerstone Christian (Rainsville, AL) on Thursday, September 10 @ 7p.","/al/football/game/conecuh-springs-christian-union-springs-vs-cornerstone-christian-rainsville/9-10-2026/?c=c4168bdb-eff6-430d-a29b-35f4ee4768bf","https://www.maxpreps.com/al/football/game/conecuh-springs-christian-union-springs-vs-cornerstone-christian-rainsville/9-10-2026/?c=c4168bdb-eff6-430d-a29b-35f4ee4768bf","1de0","Eagles","Eagles","https://www.maxpreps.com/al/conecuh-springs-christian-union-springs/football/","https://www.maxpreps.com/al/cornerstone-christian-rainsville/football/","https://image.maxpreps.io/school-mascot/d/e/7/de78ae08-cac6-4cb0-8132-a09925dc3b1c.gif?version=636541305000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/8/d/2/8d2bcfc9-da71-4a1c-a7eb-fe5e14b94ec7.gif?version=636729690600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Helena vs Mountain Brook","Football","Alabama","al","2026-09-10","7:00pm","The Helena varsity football team has an away conference game @  Mountain Brook (Birmingham, AL) on Thursday, September 10 @ 7p.","/al/football/game/helena-vs-mountain-brook-birmingham/9-10-2026/?c=23e0ee94-c476-4b94-b00d-3c4aef8d444d","https://www.maxpreps.com/al/football/game/helena-vs-mountain-brook-birmingham/9-10-2026/?c=23e0ee94-c476-4b94-b00d-3c4aef8d444d","db0","Huskies","Spartans","https://www.maxpreps.com/al/helena/football/","https://www.maxpreps.com/al/mountain-brook-birmingham/football/","https://image.maxpreps.io/school-mascot/d/7/5/d7509e5a-609e-4a7f-a990-e77a31d086ab.gif?version=638234685600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/f/6/b/f6b850b6-0e78-4e01-beae-4dadc185bc43.gif?version=638241475800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Cardinal Newman vs West Boca Raton","Football","Alabama","al","2026-09-10","6:30pm","The Cardinal Newman varsity football team has an away non-conference game @  West Boca Raton (Boca Raton, FL) on Thursday, September 10 @ 6:30p.","/fl/football/game/cardinal-newman-west-palm-beach-vs-west-boca-raton/9-10-2026/?c=ce82a3f7-e6bd-44fa-9427-6220ab01a04d","https://www.maxpreps.com/fl/football/game/cardinal-newman-west-palm-beach-vs-west-boca-raton/9-10-2026/?c=ce82a3f7-e6bd-44fa-9427-6220ab01a04d","12f1","Crusaders","Bulls","https://www.maxpreps.com/al/cardinal-newman-west-palm-beach/football/","https://www.maxpreps.com/al/west-boca-raton/football/","https://image.maxpreps.io/school-mascot/b/c/5/bc5120f5-7344-46ef-acc1-53e9d36b4e75.gif?version=639234067563693670&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/e/7/9/e7903dfb-37a9-4b3b-af93-19f0569f5114.gif?version=638296082400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"St. Thomas Aquinas vs Dillard","Football","Alabama","al","2026-09-10","7:00pm","The St. Thomas Aquinas varsity football team has an away non-conference game @  Dillard (Fort Lauderdale, FL) on Thursday, September 10 @ 7p.","/fl/football/game/dillard-fort-lauderdale-vs-st-thomas-aquinas-fort-lauderdale/9-10-2026/?c=e35a9df9-5440-4c87-b93b-714d5dcb3da0","https://www.maxpreps.com/fl/football/game/dillard-fort-lauderdale-vs-st-thomas-aquinas-fort-lauderdale/9-10-2026/?c=e35a9df9-5440-4c87-b93b-714d5dcb3da0","172e","Raiders","Panthers","https://www.maxpreps.com/al/dillard-fort-lauderdale/football/","https://www.maxpreps.com/al/st-thomas-aquinas-fort-lauderdale/football/","https://image.maxpreps.io/school-mascot/b/d/1/bd12f619-3d60-413e-a9ef-5742cd4a21bb.gif?version=637743744600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/f/5/7/f577ddab-0e0f-42f9-a932-5eacd4fe4be1.gif?version=635930128800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Central vs Buford","Football","Alabama","al","2026-09-10","7:30pm","The Central varsity football team has an away non-conference game @  Buford (GA) on Thursday, September 10 @ 7:30p.","/inter-state/football/game/buford-ga-vs-central-miami-fl/9-10-2026/?c=400f88d0-7913-4a5c-8b78-4263b9103daf","https://www.maxpreps.com/inter-state/football/game/buford-ga-vs-central-miami-fl/9-10-2026/?c=400f88d0-7913-4a5c-8b78-4263b9103daf","adc","Rockets","Wolves","https://www.maxpreps.com/al/buford-ga/football/","https://www.maxpreps.com/al/central-miami-fl/football/","https://image.maxpreps.io/school-mascot/b/b/6/bb694921-d3fe-43ae-95b9-2e8d83844fd4.gif?version=638036831400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/6/d/0/6d00b044-607e-4dee-aa9b-e1fc2c6a87bc.gif?version=637816301400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"Columbus vs Palmetto","Football","Alabama","al","2026-09-10","7:30pm","The Columbus varsity football team has an away conference game @  Palmetto (Miami, FL) on Thursday, September 10 @ 7:30p.","/fl/football/game/columbus-miami-vs-palmetto-miami/9-10-2026/?c=633eaaa1-8c2e-43fd-ba9d-7af8cce4fb67","https://www.maxpreps.com/fl/football/game/columbus-miami-vs-palmetto-miami/9-10-2026/?c=633eaaa1-8c2e-43fd-ba9d-7af8cce4fb67","c87","Explorers","Panthers","https://www.maxpreps.com/al/columbus-miami/football/","https://www.maxpreps.com/al/palmetto-miami/football/","https://image.maxpreps.io/school-mascot/5/c/e/5ce85d4b-4ce3-48ca-8b24-2a304bba4853.gif?version=637698085200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/7/4/6/7462bf25-2a90-49bc-a1e0-d434c9036255.gif?version=637726704000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
"St. Louis vs Sierra Canyon","Football","Alabama","al","2026-09-10","7:00pm","The St. Louis varsity football team has an away non-conference game @  Sierra Canyon (Chatsworth, CA) on Thursday, September 10 @ 7p.","/inter-state/football/game/sierra-canyon-chatsworth-ca-vs-st-louis-honolulu-hi/9-10-2026/?c=a3e07f02-0eae-49fe-951f-8e724af299e7","https://www.maxpreps.com/inter-state/football/game/sierra-canyon-chatsworth-ca-vs-st-louis-honolulu-hi/9-10-2026/?c=a3e07f02-0eae-49fe-951f-8e724af299e7","13c4","Crusaders","Trailblazers","https://www.maxpreps.com/al/sierra-canyon-chatsworth-ca/football/","https://www.maxpreps.com/al/st-louis-honolulu-hi/football/","https://image.maxpreps.io/school-mascot/d/1/0/d10f0c90-8f07-4476-85f6-191f4a2f4a17.gif?version=636694056600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/3/e/6/3e6d32d9-9a21-4391-aba1-d59804bf82e6.gif?version=637776576000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
